name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
Rhizobium sp. N324,1703969,S,40,769,809,0.00008
Lactobacillus virus LP65,298338,S,16,0,16,0
Streptomyces sp. M56,1495638,S,25,18,43,0
Saprospira grandis,1008,S,36,0,36,0
Sulfitobacter pseudonitzschiae,1402135,S,690,156,846,0.00008
Tamlana sp. UJ94,2069432,S,134,10,144,0.00001
Paenibacillus sp. FSL P4-0081,1536769,S,55,30,85,0.00001
Dokdonia sp. MED134,313590,S,17,11,28,0
Basilea psittacipulmonis,1472345,S,81,2,83,0.00001
Streptomyces sp. CFMR 7,1649184,S,25,27,52,0.00001
Mycobacterium sp. MS1601,1936029,S,1200,53,1253,0.00012
Streptomyces sp. fd1-xmd,1812480,S,94,14,108,0.00001
Streptosporangium sp. 'caverna',2202249,S,288,45,333,0.00003
Planctomyces sp. SH-PL62,1636152,S,407,32,439,0.00004
Candidatus Planktophila versatilis,1884905,S,37,2,39,0
Serratia plymuthica,82996,S,406,78,484,0.00005
Bacteriovorax stolpii,960,S,1900,3,1903,0.00019
Methanoplanus limicola,2315,S,11,4,15,0
Gynuella sunshinyii,1445505,S,136,0,136,0.00001
Peptostreptococcaceae bacterium oral taxon 929,2081703,S,291,9,300,0.00003
Actinomyces sp. oral taxon 897,2081702,S,418,57,475,0.00005
Pelagibaca abyssi,1250539,S,1010,653,1663,0.00016
Pseudomonas fragi,296,S,68237,70767,139004,0.0137
Hydrogenophilus thermoluteolus,297,S,297,7,304,0.00003
Pseudomonas fluorescens,294,S,33883,29937,63820,0.00629
Burkholderia cepacia,292,S,540,498,1038,0.0001
Brevundimonas diminuta,293,S,19068,6912,25980,0.00256
Bacillus phage 0305phi8-36,458639,S,13,0,13,0
Acinetobacter phage Petty,1406779,S,29,0,29,0
Enterococcus phage vB_EfaS_IME196,1747289,S,15,6,21,0
Curtobacterium pusillum,69373,S,257,94,351,0.00003
Providencia rettgeri,587,S,137,23,160,0.00002
Marivirga tractuosa,1006,S,64,16,80,0.00001
Pontibacter actiniarum,323450,S,71,15,86,0.00001
Cyanothece sp. ATCC 51142,43989,S,11,1,12,0
Thermus aquaticus,271,S,34,6,40,0
Corynebacterium epidermidicanis,1050174,S,58,3,61,0.00001
Thermus thermophilus,274,S,39,46,85,0.00001
Methanobacterium paludis,868131,S,41,0,41,0
Bacterioplanes sanyensis,1249553,S,142,3,145,0.00001
Pseudohongiella spirulinae,1249552,S,134,0,134,0.00001
Halomonas sp. JS92-SW72,2306583,S,672,28,700,0.00007
Bartonella apis,1686310,S,114,20,134,0.00001
Salmonella virus 9NA,1921123,S,15,0,15,0
Psychrobacter phage Psymv2,1071177,S,31,5,36,0
Prevotella sp. oral taxon 299,652716,S,86,23,109,0.00001
Scytonema sp. HK-05,1137095,S,18,18,36,0
Aequorivita sublithincola,101385,S,171,3,174,0.00002
Meiothermus silvanus,52022,S,84,6,90,0.00001
Rubrobacter indioceani,2051957,S,64,6,70,0.00001
Thermotoga caldifontis,1508419,S,14,23,37,0
Prevotella enoeca,76123,S,111,52,163,0.00002
Maribacter sp. MAR_2009_60,1250153,S,15,35,50,0
Devosia sp. I507,2083786,S,852,58,910,0.00009
Marinomonas mediterranea,119864,S,46,2,48,0
Polaribacter sp. SA4-10,754397,S,147,11,158,0.00002
Thermococcus litoralis,2265,S,16,11,27,0
Elizabethkingia ursingii,1756150,S,339,44,383,0.00004
Acinetobacter venetianus,52133,S,8813,683,9496,0.00094
Micavibrio aeruginosavorus,349221,S,276,1,277,0.00003
Serratia sp. SCBI,488142,S,35,118,153,0.00002
Pseudomonas sp. CCOS 191,1649877,S,207,67,274,0.00003
Frondihabitans sp. PAMC 28766,1795630,S,484,53,537,0.00005
Variovorax sp. PAMC 28711,1795631,S,4577,485,5062,0.0005
Aeromonas phage PX29,926067,S,22,2,24,0
[Eubacterium] minutum,76124,S,108,9,117,0.00001
Pseudoalteromonas translucida,166935,S,19,12,31,0
Pseudomonas mandelii,75612,S,1309,308,1617,0.00016
Rothia dentocariosa,2047,S,395,28,423,0.00004
Pimelobacter simplex,2045,S,1687,321,2008,0.0002
Psychrobacter sp. DAB_AL43B,1028416,S,27249,561,27810,0.00274
Desulfosporosinus youngiae,339862,S,113,8,121,0.00001
Jeotgalibaca dankookensis,708126,S,742,45,787,0.00008
Streptococcus phage 5093,646413,S,20,3,23,0
Shinella sp. HZN7,879274,S,32754,19367,52121,0.00514
Frankia symbiont of Datisca glomerata,656024,S,174,12,186,0.00002
Desulfitobacterium metallireducens,142877,S,81,4,85,0.00001
Acidobacteriaceae bacterium SBC82,2211140,S,90,6,96,0.00001
Libanicoccus massiliensis,1871022,S,1400,101,1501,0.00015
Vibrio owensii,696485,S,41,10,51,0.00001
Desulfohalobium retbaense,45663,S,84,0,84,0.00001
Lactococcus virus CB14,665884,S,140,67,207,0.00002
Thermodesulfobium acidiphilum,1794699,S,11,6,17,0
Lactococcus piscium,1364,S,5240,365,5605,0.00055
Weissella cibaria,137591,S,693,58,751,0.00007
Micromonospora sp. B006,2201999,S,103,54,157,0.00002
Saccharomonospora azurea,40988,S,142,33,175,0.00002
Saccharomonospora cyanea,40989,S,126,58,184,0.00002
Ammonifex degensii,42838,S,80,0,80,0.00001
Methanococcus maripaludis,39152,S,15,2,17,0
Lactococcus virus bIL170,63118,S,66,39,105,0.00001
Thalassolituus oleivorans,187493,S,628,25,653,0.00006
Gordonia phage BritBrat,1838064,S,155,0,155,0.00002
Halobacillus mangrovi,402384,S,31,0,31,0
Marinobacter sp. BSs20148,490759,S,36,18,54,0.00001
Enterococcus sp. FDAARGOS_375,2060307,S,550,672,1222,0.00012
Murdochiella vaginalis,1852373,S,151,10,161,0.00002
Streptomyces bacillaris,68179,S,38,29,67,0.00001
Actinomyces pacaensis,1852377,S,489,31,520,0.00005
Zymobacter palmae,33074,S,105,6,111,0.00001
Ezakiella massiliensis,1852374,S,130,10,140,0.00001
Kitasatospora albolonga,68173,S,76,107,183,0.00002
Curvibacter sp. AEP1-3,1844971,S,6817,171,6988,0.00069
Clostridium saccharoperbutylacetonicum,36745,S,252,1,253,0.00002
Akkermansia glycaniphila,1679444,S,699,0,699,0.00007
Planococcus maritimus,192421,S,68,6,74,0.00001
Bifidobacterium thermophilum,33905,S,4279,109,4388,0.00043
Xanthomonas oryzae,347,S,1251,127,1378,0.00014
Thermacetogenium phaeum,85874,S,99,33,132,0.00001
Dietzia psychralcaliphila,139021,S,347,72,419,0.00004
Desulfotomaculum reducens,59610,S,57,1,58,0.00001
Alicycliphilus denitrificans,179636,S,30578,25756,56334,0.00555
Cystobacter fuscus,43,S,299,121,420,0.00004
Brevundimonas naejangsanensis,588932,S,8228,1208,9436,0.00093
Pseudomonas sp. bs2935,1761895,S,68,3076,3144,0.00031
Cellulosilyticum lentocellum,29360,S,279,1,280,0.00003
Pseudomonas sp. HLS-6,2049589,S,1094,91,1185,0.00012
Candidatus Erwinia sp. ErCipseudotaxifoliae,1922217,S,11,0,11,0
Amycolatopsis japonica,208439,S,83,87,170,0.00002
Dictyoglomus turgidum,513050,S,19,0,19,0
Mycobacterium virus Konstantine,1982364,S,16,59,75,0.00001
Mycobacterium virus Predator,1982365,S,1237,0,1237,0.00012
Lactobacillus ruminis,1623,S,11422,192,11614,0.00114
[Mannheimia] succiniciproducens,157673,S,253,12,265,0.00003
Sulfitobacter phage EE36phi1,490913,S,14,0,14,0
Silicibacter phage DSS3phi2,490912,S,90,2,92,0.00001
Lactobacillus sanfranciscensis,1625,S,188,6,194,0.00002
Lactobacillus salivarius,1624,S,2901,167,3068,0.0003
Desulfovibrio alaskensis,58180,S,1071,838,1909,0.00019
Weissella viridescens,1629,S,59,3,62,0.00001
Bacteroidales bacterium CF,1400053,S,2350,181,2531,0.00025
Kocuria flava,446860,S,449,78,527,0.00005
Legionella lansingensis,45067,S,19,0,19,0
Enterobacter roggenkampii,1812935,S,2055,2385,4440,0.00044
Oceanicoccus sagamiensis,716816,S,59,0,59,0.00001
Halopenitus persicus,1048396,S,10,0,10,0
Nostoc piscinale,224012,S,15,7,22,0
Streptomyces sp. CCM_MD2014,1561022,S,90,16,106,0.00001
Pseudomonas furukawaii,1149133,S,836,71,907,0.00009
Burkholderia sp. Bp7605,1740163,S,339,31,370,0.00004
Rhodovulum sp. P5,1564506,S,904,89,993,0.0001
Streptomyces puniciscabiei,164348,S,115,11,126,0.00001
Pectobacterium carotovorum,554,S,401,107,508,0.00005
Dickeya chrysanthemi,556,S,215,5,220,0.00002
Enterobacter cloacae,550,S,13843,22061,35904,0.00354
Pantoea ananatis,553,S,357,14,371,0.00004
Erwinia amylovora,552,S,92,30,122,0.00001
Frankia inefficax,298654,S,303,24,327,0.00003
Thermanaerovibrio velox,108007,S,36,18,54,0.00001
Pseudoalteromonas spongiae,298657,S,71,5,76,0.00001
Microbacterium sp. XT11,367477,S,1154,167,1321,0.00013
Frankia sp. EAN1pec,298653,S,225,18,243,0.00002
Weissella jogaejeotgali,1631871,S,122,20,142,0.00001
Thioclava nitratireducens,1915078,S,1015,161,1176,0.00012
Calothrix brevissima,938406,S,22,15,37,0
Staphylococcus cohnii,29382,S,133,11,144,0.00001
Microchaete diplosiphon,1197,S,19,28,47,0
Oenococcus kitaharae,336988,S,25,0,25,0
Escherichia virus V5,1914853,S,148,92,240,0.00002
Citrobacter sp. 92,2019568,S,17,424,441,0.00004
Chthonomonas calidirosea,454171,S,32,0,32,0
Escherichia virus FV3,1914855,S,104,8,112,0.00001
Corynebacterium falsenii,108486,S,188,65,253,0.00002
Stenotrophomonas nitritireducens,83617,S,11,13907,13918,0.00137
Pseudopropionibacterium propionicum,1750,S,649,63,712,0.00007
Chryseobacterium sp. T16E-39,2015076,S,603,185,788,0.00008
Citrobacter freundii complex sp. CFNIH4,2077148,S,1261,6566,7827,0.00077
Citrobacter freundii complex sp. CFNIH9,2077149,S,1245,3157,4402,0.00043
Arthrobacter sp. ATCC 21022,1771959,S,22,66,88,0.00001
Bradyrhizobium sp. WSM471,319017,S,134,288,422,0.00004
Sphaerochaeta coccoides,273376,S,38,0,38,0
Staphylococcus kloosii,29384,S,56,2,58,0.00001
Citrobacter freundii complex sp. CFNIH3,2077147,S,6514,9787,16301,0.00161
Methylobacterium currus,2051553,S,873,230,1103,0.00011
Mycobacterium sp. PYR15,2051552,S,219,143,362,0.00004
Kocuria rhizophila,72000,S,268,552,820,0.00008
Pseudomonas vancouverensis,95300,S,827,65,892,0.00009
Microcella alkaliphila,279828,S,773,80,853,0.00008
Synechococcus sp. KORDI-52,585425,S,33,17,50,0
Mycolicibacterium vaccae,1810,S,1264,181,1445,0.00014
Brevundimonas sp. GW460-12-10-14-LB2,1827469,S,5493,4298,9791,0.00097
Pseudomonas sp. LG1E9,2219057,S,1418,208,1626,0.00016
Pandoraea oxalativorans,573737,S,573,277,850,0.00008
Staphylococcus simulans,1286,S,69,3,72,0.00001
Bacillus jeotgali,129985,S,57,2,59,0.00001
Staphylococcus aureus,1280,S,633,1354,1987,0.0002
Staphylococcus haemolyticus,1283,S,379,43,422,0.00004
Staphylococcus epidermidis,1282,S,558,54,612,0.00006
[Bacillus] selenitireducens,85683,S,41,5,46,0
Staphylococcus xylosus,1288,S,42,1,43,0
Psychrobacter sp. G,571800,S,25903,15199,41102,0.00405
Fimbriimonas ginsengisoli,1005039,S,78,0,78,0.00001
Lactobacillus acidophilus,1579,S,1183,21,1204,0.00012
Dyella thiooxydans,445710,S,1179,242,1421,0.00014
Auricoccus indicus,1849491,S,54,3,57,0.00001
Geminocystis sp. NIES-3709,1617448,S,44,4,48,0
Elizabethkingia miricola,172045,S,186,113,299,0.00003
Vibrio gazogenes,687,S,50,0,50,0
Leuconostoc kimchii,136609,S,26,142,168,0.00002
Vibrio campbellii,680,S,68,21,89,0.00001
Leifsonia xyli,1575,S,1068,328,1396,0.00014
Mycobacterium sp. JS623,212767,S,986,27,1013,0.0001
Salegentibacter salegens,143223,S,66,5,71,0.00001
Paludibacter propionicigenes,185300,S,730,1,731,0.00007
Chromobacterium vaccinii,1108595,S,666,200,866,0.00009
Nitrosospira lacus,1288494,S,158,12,170,0.00002
Marmoricola scoriae,642780,S,751,181,932,0.00009
Arthrobacter sp. YC-RL1,1652545,S,435,39,474,0.00005
Nostoc sp. PCC 7107,317936,S,12,5,17,0
Microbacterium pygmaeum,370764,S,1363,98,1461,0.00014
Candidatus Nanopelagicus limnes,1884634,S,24,12,36,0
Capnocytophaga canimorsus,28188,S,166,29,195,0.00002
Capnocytophaga cynodegmi,28189,S,70,21,91,0.00001
Phyllobacterium zundukense,1867719,S,515,37,552,0.00005
Acetohalobium arabaticum,28187,S,29,0,29,0
Leptospira santarosai,28183,S,12,0,12,0
Actinomyces sp. oral taxon 414,712122,S,1584,389,1973,0.00019
Streptococcus porcinus,1340,S,1092,46,1138,0.00011
Methylobacillus flagellatus,405,S,577,78,655,0.00006
Planococcus kocurii,1374,S,12,23,35,0
Aerococcus viridans,1377,S,1572,366,1938,0.00019
Aerococcus urinae,1376,S,84,1,85,0.00001
Vibrio phage pYD38-A,754051,S,94,7,101,0.00001
Lactobacillus crispatus,47770,S,2119,63,2182,0.00022
Methylorubrum extorquens,408,S,1035,1086,2121,0.00021
Bacteroides caccae,47678,S,1261,18,1279,0.00013
Sphingopyxis sp. MG,1866325,S,894,4610,5504,0.00054
Pseudomonas granadensis,1421430,S,297,142,439,0.00004
Acinetobacter sp. WCHAc010005,2004650,S,2151,633,2784,0.00027
Haemophilus pittmaniae,249188,S,122,7,129,0.00001
Acholeplasma laidlawii,2148,S,52,18,70,0.00001
Pseudopedobacter saltans,151895,S,196,54,250,0.00002
Methanoregula formicica,882104,S,47,3,50,0
Variovorax sp. HW608,1034889,S,5325,507,5832,0.00057
Streptococcus iniae,1346,S,1022,116,1138,0.00011
Spirosoma montaniterrae,1178516,S,69,4,73,0.00001
Pseudomonas alcaligenes,43263,S,16418,687,17105,0.00169
Macrococcus caseolyticus,69966,S,37,13,50,0
Pseudomonas litoralis,797277,S,441,13,454,0.00004
Alteromonas naphthalenivorans,715451,S,52,21,73,0.00001
Pandoraea pulmonicola,93221,S,488,75,563,0.00006
Pandoraea pnomenusa,93220,S,1200,343,1543,0.00015
Pandoraea sputorum,93222,S,363,151,514,0.00005
Delftia tsuruhatensis,180282,S,7071,8119,15190,0.0015
Pseudomonas salegens,1434072,S,391,3,394,0.00004
Bradyrhizobium sp. ORS 285,115808,S,581,111,692,0.00007
Pseudomonas virus LKA1,1985731,S,65,0,65,0.00001
Martelella endophytica,1486262,S,701,92,793,0.00008
Methylophilus sp. TWE2,1662285,S,305,12,317,0.00003
Xylella virus Prado,1985736,S,73,0,73,0.00001
Brachybacterium sp. P6-10-X1,1903186,S,291,48,339,0.00003
Bacillus thermoamylovorans,35841,S,66,6,72,0.00001
Aeromonas sp. ASNIH7,1920107,S,884,1924,2808,0.00028
Methanosphaera stadtmanae,2317,S,364,4,368,0.00004
Streptomyces malaysiensis,92644,S,12,9,21,0
Herbaspirillum frisingense,92645,S,986,202,1188,0.00012
Agrobacterium vitis,373,S,1080,57,1137,0.00011
Enterobacteriaceae bacterium ENNIH2,1920109,S,505,15184,15689,0.00155
Bradyrhizobium japonicum,375,S,642,788,1430,0.00014
Bradyrhizobium sp.,376,S,143,339,482,0.00005
Capnocytophaga sputigena,1019,S,71,16,87,0.00001
Pseudomonas balearica,74829,S,1021,266,1287,0.00013
Tsukamurella paurometabola,2061,S,602,81,683,0.00007
Ruegeria sp. TM1040,292414,S,293,57,350,0.00003
Caulobacter henricii,69395,S,844,164,1008,0.0001
Pseudomonas sp. NS1(2017),2025658,S,1349,278,1627,0.00016
Paenibacillus sp. FSL R7-0273,1536772,S,132,15,147,0.00001
Paenibacillus sp. FSL R7-0331,1536773,S,80,9,89,0.00001
Neorhizobium galegae,399,S,2317,215,2532,0.00025
Rhizobium tropici,398,S,1036,102,1138,0.00011
Paenibacillus sp. FSL H7-0357,1536774,S,80,6,86,0.00001
Pseudomonas extremaustralis,359110,S,3412,424,3836,0.00038
Colwellia sp. Arc7-D,2161872,S,42,9,51,0.00001
Obesumbacterium proteus,82983,S,222,45,267,0.00003
Butyrivibrio hungatei,185008,S,504,168,672,0.00007
Candidatus Planktophila lacus,1884913,S,21,1,22,0
Candidatus Planktophila dulcis,1884914,S,17,2,19,0
Tatumella ptyseos,82987,S,80,3,83,0.00001
Candidatus Nanopelagicus abundans,1884916,S,12,3,15,0
Pragia fontium,82985,S,68,0,68,0.00001
Caulobacteraceae bacterium OTSz_A_272,1759059,S,159,0,159,0.00002
Deinococcus irradiatisoli,2202254,S,68,2,70,0.00001
Saccharomonospora glauca,40990,S,196,57,253,0.00002
Staphylococcus felis,46127,S,63,2,65,0.00001
Nitrosomonas sp. AL212,153948,S,45,41,86,0.00001
Acidihalobacter ferrooxidans,1765967,S,1080,23,1103,0.00011
Chloroherpeton thalassium,100716,S,34,0,34,0
Nautilia profundicola,244787,S,28,0,28,0
Alicyclobacillus acidocaldarius,405212,S,134,0,134,0.00001
Malacobacter molluscorum,1032072,S,312,27,339,0.00003
Christensenella massiliensis,1805714,S,1085,55,1140,0.00011
Rhizobium sp. IE4771,1301032,S,129,283,412,0.00004
Citrobacter sp. FDAARGOS_156,1702170,S,2783,362,3145,0.00031
Acidimicrobium ferrooxidans,53635,S,60,0,60,0.00001
Brenneria goodwinii,1109412,S,115,4,119,0.00001
Candidatus Phaeomarinobacter ectocarpi,1458461,S,174,2,176,0.00002
Burkholderiales bacterium YL45,1834205,S,237,3,240,0.00002
Shewanella sp. W3-18-1,351745,S,40,126,166,0.00002
Weissella paramesenteroides,1249,S,147,22,169,0.00002
Achromobacter denitrificans,32002,S,1218,813,2031,0.0002
Salmonella virus SE2,2005699,S,36,34,70,0.00001
Candidatus Rhodoluna planktonica,535712,S,35,3,38,0
Kozakia baliensis,153496,S,148,24,172,0.00002
Prosthecochloris sp. CIB 2401,1868325,S,156,10,166,0.00002
Salmonella virus SETP7,2005692,S,16,4,20,0
Altererythrobacter ishigakiensis,476157,S,154,4,158,0.00002
Lactococcus phage r1t,43685,S,12,17,29,0
Dickeya solani,1089444,S,81,10,91,0.00001
Dehalobacter restrictus,55583,S,40,1,41,0
Bacillus sonorensis,119858,S,40,1,41,0
Rhizobium sp. NXC24,2048897,S,1101,85,1186,0.00012
Petrotoga mobilis,69499,S,23,4,27,0
Burkholderia virus Bcep22,242527,S,11,0,11,0
Pseudonocardia sp. AL041005-10,445576,S,213,108,321,0.00003
Alkalitalea saponilacus,889453,S,135,2,137,0.00001
Tessaracoccus sp. T2.5-30,1909732,S,2316,268,2584,0.00025
Candidatus Pelagibacter sp. IMCC9063,1002672,S,20,0,20,0
Chryseobacterium taklimakanense,536441,S,5858,2625,8483,0.00084
Mycobacteroides saopaulense,1578165,S,404,37,441,0.00004
Caldilinea aerophila,133453,S,130,7,137,0.00001
Jonquetella anthropi,428712,S,111,4,115,0.00001
Streptococcus phage Str-PAP-1,1589270,S,316,0,316,0.00003
Chryseolinea sp. KIS68-18,2321403,S,84,0,84,0.00001
Bacillus pseudofirmus,79885,S,39,1,40,0
Lactobacillus helveticus,1587,S,1124,398,1522,0.00015
Leptospira interrogans,173,S,28,-3,25,0
Leptospira biflexa,172,S,215,-215,0,0
Mobiluncus curtisii,2051,S,109,14,123,0.00001
Moraxella ovis,29433,S,1218,1012,2230,0.00022
Gordonia terrae,2055,S,1313,372,1685,0.00017
Gordonia bronchialis,2054,S,2074,437,2511,0.00025
Sphaerobacter thermophilus,2057,S,104,2,106,0.00001
Stenotrophomonas sp. WZN-1,2005046,S,444,638,1082,0.00011
Halomonas sp. A3H3,1346287,S,209,35,244,0.00002
Eggerthella lenta,84112,S,4930,440,5370,0.00053
Oscillatoria acuminata,118323,S,33,3,36,0
Slackia heliotrinireducens,84110,S,386,0,386,0.00004
Corynebacterium uterequi,1072256,S,128,4,132,0.00001
Capnocytophaga gingivalis,1017,S,40,3,43,0
Enterococcus phage IME-EFm1,1445858,S,13,0,13,0
Blattabacterium sp. (Nauphoeta cinerea),1316444,S,13,3,16,0
Peptoniphilus sp. ING2-D1G,1912856,S,224,8,232,0.00002
Enterococcus mundtii,53346,S,294,19,313,0.00003
Enterococcus durans,53345,S,882,321,1203,0.00012
Paenibacillus sp. FSL R5-0912,1536771,S,65,33,98,0.00001
Sphingobium sp. RAC03,1843368,S,688,65,753,0.00007
Methanosarcina lacustris,170861,S,14,0,14,0
Vibrio scophthalmi,45658,S,49,4,53,0.00001
Vitreoscilla sp. C1,96942,S,9117,684,9801,0.00097
Rubrobacter xylanophilus,49319,S,111,2,113,0.00001
Cupriavidus pinatubonensis,248026,S,987,196,1183,0.00012
Pseudoalteromonas aliena,247523,S,11,2,13,0
Shewanella phage Spp001,1445859,S,33,1,34,0
Pseudomonas alkylphenolica,237609,S,941,71,1012,0.0001
Pseudoxanthomonas spadix,415229,S,5601,1783,7384,0.00073
Bartonella vinsonii,33047,S,27,19,46,0
Bartonella grahamii,33045,S,17,25,42,0
Thermovirga lienii,336261,S,19,2,21,0
Sulfitobacter sp. AM1-D1,1917485,S,612,792,1404,0.00014
Halothermothrix orenii,31909,S,19,0,19,0
Enterobacter phage EcP1,942016,S,24,0,24,0
Bacteroides cellulosilyticus,246787,S,1032,62,1094,0.00011
Lactobacillus acetotolerans,1600,S,96,3,99,0.00001
Filimonas lacunae,477680,S,65,14,79,0.00001
Lactobacillus amylophilus,1603,S,2357,472,2829,0.00028
Gemmatimonas aurantiaca,173480,S,280,12,292,0.00003
Yersinia phage phiR1-37,331278,S,32,0,32,0
Exiguobacterium antarcticum,132920,S,34,3,37,0
Pantoea rwandensis,1076550,S,227,10,237,0.00002
Meiothermus ruber,277,S,117,10,127,0.00001
Mesoplasma florum,2151,S,11,20,31,0
Pseudomonas sp. FDAARGOS_380,2018067,S,14615,5927,20542,0.00202
Salmonella virus SKML39,2169690,S,10,7,17,0
[Clostridium] sphenoides,29370,S,1528,63,1591,0.00016
Sphingorhabdus sp. Alg231-15,1922222,S,102,1,103,0.00001
Erythrobacter sp. Alg231-14,1922225,S,102,1,103,0.00001
Anderseniella sp. Alg231-50,1922226,S,178,2,180,0.00002
Lactobacillus oligofermentans,293371,S,140,5,145,0.00001
Opitutus terrae,107709,S,267,8,275,0.00003
Staphylococcus auricularis,29379,S,25,0,25,0
Microbacterium sp. No. 7,1714373,S,3296,1153,4449,0.00044
Faecalibaculum rodentium,1702221,S,493,80,573,0.00006
Cronobacter phage vB_CsaM_GAP161,1141138,S,62,20,82,0.00001
endosymbiont 'TC1' of Trimyema compressum,243899,S,139,0,139,0.00001
Streptomyces chartreusis,1969,S,223,22,245,0.00002
Methylomicrobium album,39775,S,304,7,311,0.00003
Rhodoferax ferrireducens,192843,S,5721,230,5951,0.00059
Aminobacter aminovorans,83263,S,1456,314,1770,0.00017
Lactobacillus farciminis,1612,S,128,1,129,0.00001
Lactobacillus fermentum,1613,S,4449,523,4972,0.00049
Acinetobacter nosocomialis,106654,S,1463,102,1565,0.00015
Sphingobium sp. EP60837,1855519,S,478,64,542,0.00005
Bradyrhizobium oligotrophicum,44255,S,723,109,832,0.00008
Erwinia gerundensis,1619313,S,301,16,317,0.00003
Paenibacillus durus,44251,S,100,7,107,0.00001
Paenibacillus beijingensis,1126833,S,105,6,111,0.00001
Candidatus Phycorickettsia trachydisci,2115978,S,22,0,22,0
Streptomyces nodosus,40318,S,116,8,124,0.00001
Pseudomonas virus PAE1,1981048,S,14,13,27,0
Dietzia sp. oral taxon 368,712270,S,394,178,572,0.00006
Fastidiosipila sanguinis,236753,S,60,2,62,0.00001
Clostridiaceae bacterium 14S0207,2082193,S,188,19,207,0.00002
Klebsiella virus PKP126,1981042,S,34,7,41,0
Klebsiella virus Sushi,1981043,S,27,7,34,0
Cupriavidus metallidurans,119219,S,3558,2593,6151,0.00061
Erwinia phage PhiEaH1,1401669,S,15,0,15,0
Candidatus Nucleicultrix amoebiphila,1509244,S,21,0,21,0
Haliangium ochraceum,80816,S,434,10,444,0.00004
Bradyrhizobium lablabi,722472,S,674,2098,2772,0.00027
Acidihalobacter prosperus,160660,S,670,25,695,0.00007
Leadbetterella byssophila,316068,S,270,16,286,0.00003
Anomala cuprea entomopoxvirus,62099,S,10,0,10,0
Sulfuritalea hydrogenivorans,748811,S,1597,82,1679,0.00017
Komagataeibacter nataicola,265960,S,136,19,155,0.00002
Hymenobacter nivis,1850093,S,70,23,93,0.00001
Pseudomonas veronii,76761,S,1800,1697,3497,0.00034
Pseudomonas rhodesiae,76760,S,4185,1476,5661,0.00056
Paenibacillus sp. 32O-W,1695218,S,78,4,82,0.00001
Sphingomonas indica,941907,S,473,11,484,0.00005
Betaproteobacteria bacterium GR16-43,1904640,S,621,9,630,0.00006
Cupriavidus sp. USMAHM13,1389192,S,51,309,360,0.00004
Halomonas subglaciescola,29571,S,221,4,225,0.00002
Brachyspira hampsonii,1287055,S,18,4,22,0
Taylorella equigenitalis,29575,S,39,5,44,0
Aeromonas sp. ASNIH2,1636607,S,1625,3102,4727,0.00047
Aeromonas sp. ASNIH1,1636606,S,1072,2644,3716,0.00037
Mycobacterium kansasii,1768,S,641,90,731,0.00007
Mycobacterium leprae,1769,S,76,0,76,0.00001
Acinetobacter sp. ACNIH1,1636603,S,5803,980,6783,0.00067
Myxococcus stipitatus,83455,S,164,26,190,0.00002
Gluconacetobacter diazotrophicus,33996,S,362,22,384,0.00004
Aquabacterium olei,1296669,S,3751,906,4657,0.00046
